dataset,filename,width,height,shorter_dim,longer_dim,aspect_ratio,size_bin,is_sliver
TreePolygons,06_Training_dop20_False_Color_3.png,1000,1000,1000,1000,1.0,512–1023,False
TreePolygons,06_Training_dop20_False_Color_4.png,1000,1000,1000,1000,1.0,512–1023,False
TreePolygons,rgb_61_3.png,1000,1000,1000,1000,1.0,512–1023,False
TreePolygons,Paracou_RGB_2016_10cm_4267.png,500,500,500,500,1.0,256–511,False
TreePolygons,BCI_50ha_2020_08_01_global_18.png,2000,2000,2000,2000,1.0,1024–2047,False
TreePolygons,PlotS2_20210621_RGB_62.png,2000,2000,2000,2000,1.0,1024–2047,False
TreePolygons,06_Training_dop20_False_Color_2.png,1000,1000,1000,1000,1.0,512–1023,False
TreePolygons,Tree888_1722268320.png,960,540,540,960,1.78,512–1023,False
TreePolygons,2021-09-28-sbl-z3-rgb-cog_57.png,3000,3000,3000,3000,1.0,≥2048,False
TreePolygons,ck2ek3ke01te607219v2aps5l.jpg,4864,3648,3648,4864,1.33,≥2048,False
TreePolygons,CityCentre_2017_32630_712515_5788108_160_20_32630.png,801,800,800,801,1.0,512–1023,False
TreePolygons,Stadtwald_31_384.tif,2048,2048,2048,2048,1.0,≥2048,False
TreePolygons,ck2ekjzk2gp3a0811z41fxk7g.jpg,4864,3648,3648,4864,1.33,≥2048,False
TreePolygons,PlotS2_20210621_RGB_51.png,2000,2000,2000,2000,1.0,1024–2047,False
TreePolygons,20230608_cbbernard4_p1_rgb.cog_126.png,3000,3000,3000,3000,1.0,≥2048,False
TreePolygons,2021-10-07-sbl-z3-rgb-cog_63.png,3000,3000,3000,3000,1.0,≥2048,False
TreePolygons,wcm_uav_rgb_dsm_8.png,1500,1500,1500,1500,1.0,1024–2047,False
TreePolygons,20230712_afcahoule_itrf20_p1_rgb.cog_334.png,3000,3000,3000,3000,1.0,≥2048,False
TreePolygons,wcm_uav_rgb_dsm_16.png,1500,1500,1500,1500,1.0,1024–2047,False
TreePolygons,Stadtwald_31_389.tif,2048,2048,2048,2048,1.0,≥2048,False
TreePolygons,wcm_uav_rgb_dsm_13.png,1500,1500,1500,1500,1.0,1024–2047,False
TreePolygons,20230712_afcahoule_itrf20_p1_rgb.cog_405.png,3000,3000,3000,3000,1.0,≥2048,False
TreePolygons,Paracou_RGB_2016_10cm_4352.png,500,500,500,500,1.0,256–511,False
TreePolygons,HARV_047_2019.tif,400,400,400,400,1.0,256–511,False
TreePolygons,CityCentre_2017_32630_713795_5789388_160_20_32630.png,801,801,801,801,1.0,512–1023,False
TreePolygons,BCI_50ha_2020_08_01_global_12.png,2000,2000,2000,2000,1.0,1024–2047,False
TreePolygons,aerial_train_2022_3.png,810,794,794,810,1.02,512–1023,False
TreePolygons,Stadtwald_64_719.tif,2048,2048,2048,2048,1.0,≥2048,False
TreePoints,calgary_cell_4906_imagery.tif,2048,2048,2048,2048,1.0,≥2048,False
TreePoints,HARV_047_2018.tif,400,400,400,400,1.0,256–511,False
TreePoints,IMG_671.jpg,1024,1024,1024,1024,1.0,1024–2047,False
TreePoints,yosemite_tile_572.png,800,800,800,800,1.0,512–1023,False
TreePoints,000030_ortho_8.png,800,800,800,800,1.0,512–1023,False
TreePoints,HARV_ForestGEO_contrib_221.tif,397,397,397,397,1.0,256–511,False
TreePoints,plot_01_4.png,500,500,500,500,1.0,256–511,False
TreePoints,eureka_2020_20.tif,256,256,256,256,1.0,256–511,False
